Constituency,SN,Candidate,Party,Votes
Holenarasipur,5,SHREYAS M PATEL,Indian National Congress,84951
Holenarasipur,6,B.K. NAGARAJA,Karnataka Rashtra Samithi,1151
Holenarasipur,7,H.D. REVANNA,Purvanchal Mahapanchayat,2061
Holenarasipur,8,D.R. RANGASWAMY,Independent,449
Holenarasipur,9,NOTA,None of the Above,760
Arkalgud,1,B.T. JAVAREGOWDA,Aam Aadmi Party,2022
Arkalgud,2,A. MANJU,Janata Dal (Secular),74643
Arkalgud,3,H. YOGARAMESHA,Bharatiya Janata Party,19575
Arkalgud,4,H.P. SRIDHARGOWDA,Indian National Congress,35947
Arkalgud,5,HARISH ATHNI,Bahujan Samaj Party,2382
Arkalgud,6,KESHAVAMURTHY H.T,Karnataka Rashtra Samithi,575
Arkalgud,7,MANJUNATHA H.P,Bharatiya Dr. B.R.Ambedkar Janta Party,190
Arkalgud,8,SHIVARAJA G.R,Uttama Prajaakeeya Party,720
Arkalgud,9,M.T. KRISHNEGOWDA,Independent,55038
Arkalgud,10,PUTTARAJA,Independent,381
Arkalgud,11,PUNEETH B.R,Independent,386
Arkalgud,12,VIJAYA BHARATHI,Independent,136
Arkalgud,13,M.C. VISHWANATHA BISALAHALLI,Independent,473
Arkalgud,14,M.R. SHIVANNA,Independent,294
Arkalgud,15,SRINIVASA M.G,Independent,555
Arkalgud,16,NOTA,None of the Above,624
Sakleshpur,1,KUMARASWAMY H.K,Janata Dal (Secular),56548
Sakleshpur,2,K.S. PAVAN KUMAR,Aam Aadmi Party,1002
Sakleshpur,3,MURALI MOHAN,Indian National Congress,42811
Sakleshpur,4,CEMENT MANJU,Bharatiya Janata Party,58604
Sakleshpur,5,D. SHIVAMMA,Bahujan Samaj Party,1536
Sakleshpur,6,H.S. KUMARASWAMY,Karunaadu Party,645
Sakleshpur,7,PRATHAP K.A,Uttama Prajaakeeya Party,1000
Sakleshpur,8,PRADEEPA BAYYA,Karnataka Rashtra Samithi,414
Sakleshpur,9,RAVI G.C,Independent,314
Sakleshpur,10,VENU M.R,Independent,793
Sakleshpur,11,NOTA,None of the Above,1231
Belthangady,1,ASHRAF ALIKUNHI MUNDAJE,Janata Dal (Secular),556
Belthangady,2,JANARDHANA BANGERA,Aam Aadmi Party,278
Belthangady,3,RAKSHITH SHIVARAM,Indian National Congress,82788
Belthangady,4,HARISH POONJA,Bharatiya Janata Party,101004
Belthangady,5,AKBAR BELTHANGADY,Social Democratic Party Of India,2513
Belthangady,6,ADITHYA NARAYANA KOLLAJE,Sarvodaya Karnataka Paksha,454
Belthangady,7,SHAILEESH R .J.,Tuluvere Paksha,308
Belthangady,8,MAHESH AUTO,Independent,214
Belthangady,9,NOTA,None of the Above,892
Moodabidri,1,DR.AMARASHREE AMARNATH SHETTY,Janata Dal (Secular),1533
Moodabidri,2,UMANATHA KOTIAN,Bharatiya Janata Party,86925
Moodabidri,3,MITHUN M RAI,Indian National Congress,64457
Moodabidri,4,VIJAYNATH VITTAL SHETTY,Aam Aadmi Party,637
Moodabidri,5,ALPHONSE FRANKO,Social Democratic Party Of India,3617
Moodabidri,6,DAYANANDA,Karnataka Rashtra Samithi,160
Moodabidri,7,ISHWARA S. MOODUSHEDDE,Independent,236
Moodabidri,8,DURGA PRASAD,Independent,319
Moodabidri,9,NOTA,None of the Above,837
Mangalore City North,1,INAYATH ALI,Indian National Congress,70609
Mangalore City North,2,BHARATH SHETTY. Y.,Bharatiya Janata Party,103531
Mangalore City North,3,MOIDIN BAVA,Janata Dal (Secular),5256
Mangalore City North,4,SANDEEP P SHETTY,Aam Aadmi Party,493
Mangalore City North,5,DHARMENDRA,Akhil Bharat Hindu Mahasabha,134
Mangalore City North,6,B PRAVEEN CHANDRA RAO,Hindustan Janta Party Secular,107
Mangalore City North,7,PRASHANTHA,Uttama Prajaakeeya Party,318
Mangalore City North,8,YASHODHA,Karnataka Rashtra Samithi,166
Mangalore City North,9,MAXIM PINTO,Independent,226
Mangalore City North,10,H VINAYA ACHARYA,Independent,329
Mangalore City North,11,NOTA,None of the Above,1194
Mangalore City South,1,J.R.LOBO,Indian National Congress,67475
Mangalore City South,2,D.VEDAVYASA KAMATH,Bharatiya Janata Party,91437
Mangalore City South,3,SUMATHI.S.HEGDE,Janata Dal (Secular),709
Mangalore City South,4,K.SANTHOSH KAMATH,Aam Aadmi Party,625
Mangalore City South,5,DHARMENDRA,Akhil Bharat Hindu Mahasabha,73
Mangalore City South,6,WINNY PINTO,Karnataka Rashtra Samithi,106
Mangalore City South,7,SUPREETH KUMAR POOJARY,Janahitha Paksha,180
Mangalore City South,8,K.S.PAI,Independent,135
Mangalore City South,9,NOTA,None of the Above,1203
Mangalore,1,U.T. KHADER FAREED,Indian National Congress,83219
Mangalore,2,MOHAMMAD ASHRAF,Aam Aadmi Party,334
Mangalore,3,SATHISH KUMPALA,Bharatiya Janata Party,60429
Mangalore,4,RIYAZ FARANGIPETE,Social Democratic Party Of India,15054
Mangalore,5,DEEPAK RAJESH COELHO,Independent,243
Mangalore,6,NOTA,None of the Above,720
Bantval,1,PURUSHOTHAMA GOWDA KOLPE,Aam Aadmi Party,495
Bantval,2,PRAKASH GOMES,Janata Dal (Secular),454
Bantval,3,B. RAMANATH RAI,Indian National Congress,85042
Bantval,4,RAJESH NAIK U,Bharatiya Janata Party,93324
Bantval,5,ILYAS MOHAMMED THUMBE,Social Democratic Party Of India,5436
Bantval,6,NOTA,None of the Above,821
Puttur,1,ASHOK KUMAR RAI,Indian National Congress,66607
Puttur,2,ASHA THIMMAPPA,Bharatiya Janata Party,37558
Puttur,3,DIVYAPRABHA GOWDA,Janata Dal (Secular),684
Puttur,4,DR. B.K. VISHUKUMAR GOWDA,Aam Aadmi Party,650
Puttur,5,SHAFFI BELLARE,Social Democratic Party Of India,2788
Puttur,6,IVAN FERAO P.,Karnataka Rashtra Samithi,529
Puttur,7,ARUN KUMAR PUTHILA,Independent,62458
Puttur,8,SUNDARA KOILA,Independent,622
Puttur,9,NOTA,None of the Above,866
Sullia,1,G. KRISHNAPPA RAMAKUNJA.,Indian National Congress,63037
Sullia,2,BHAGIRATHI MURULYA,Bharatiya Janata Party,93911
Sullia,3,H. L. VENKATESH.,Janata Dal (Secular),1850
Sullia,4,SUMANA BELLARKAR,Aam Aadmi Party,1587
Sullia,5,GANESHA. M (SUDHISH),Karnataka Rashtra Samithi,299
Sullia,6,"RAMESHA BOODU, SULLIA",Uttama Prajaakeeya Party,575
Sullia,7,SUNDER MERA,Kalyana Rajya Pragathi Paksha,398
Sullia,8,GURUVAPPA KALLUGUDDE,Independent,513
Sullia,9,NOTA,None of the Above,2562
Madikeri,1,APPACHU RANJAN M. P,Bharatiya Janata Party,80477
Madikeri,2,A. A. DIVIL KUMAR.,Bahujan Samaj Party,636
Madikeri,3,BOPANNA. K.P,Aam Aadmi Party,407
Madikeri,4,NAPANDA MUTHAPPA,Janata Dal (Secular),6233
Madikeri,5,DR. MANTAR GOWDA,Indian National Congress,84879
Madikeri,6,AMEEN MOHISIN,Social Democratic Party Of India,1436
Madikeri,7,RASHEEDA BEGUM,Indian Movement Party,84
Madikeri,8,K.B.RAJU,Republican Party of India,116
Madikeri,9,SRINIVASA RAI B.K.(SATHISH),Karnataka Pragnyavantha Janatha Party,116
Madikeri,10,K.R.S.SAJEER NELAT.,Karnataka Rashtra Samithi,155
Madikeri,11,H.M.SOMAPPA,Communist Party of India,513
Madikeri,12,KHALEEL M.,Independent,249
Madikeri,13,SHRUTHI. K.P.,Independent,222
Madikeri,14,HARISH G.ACHARYA,Independent,124
Madikeri,15,G.G. HEMANTH KUMAR.,Independent,253
Madikeri,16,NOTA,None of the Above,1516
Virajpet,1,A.S.PONNANNA,Indian National Congress,83791
Virajpet,2,K.G.BOPAIAH,Bharatiya Janata Party,79500
Virajpet,3,MANZOOR ALI M.A,Janata Dal (Secular),1121
Virajpet,4,CHIMMANAMADA RAVINDRA,Aam Aadmi Party,254
Virajpet,5,MANU SOMAIAH,Sarvodaya Karnataka Paksha,682
Virajpet,6,S.Y.M. MASOOD FOUJDAR,Nationalist Congress Party,121
Virajpet,7,SAJU. V.A. (BAVE),Karnataka Rashtra Samithi,123
Virajpet,8,PONNETI K.DARSHAN,Independent,204
Virajpet,9,ABDUL NASIR MAKKI,Independent,346
Virajpet,10,NOTA,None of the Above,1636
Piriyapatna,1,PRADEEPA C.S,Bahujan Samaj Party,967
Piriyapatna,2,K. MAHADEVA,Janata Dal (Secular),66269
Piriyapatna,3,RAJASHEKHAR DODDANNA,Aam Aadmi Party,1533
Piriyapatna,4,C.H. VIJAYA SHANKAR,Bharatiya Janata Party,7373
Piriyapatna,5,K. VENKATESH,Indian National Congress,85944
Piriyapatna,6,GURUMURTHY JOGANAHALLI,Karnataka Rashtra Samithi,716
Piriyapatna,7,NAVEEN KUMAR P.S,Uttama Prajaakeeya Party,506
Piriyapatna,8,KIRAN HARADUR,Independent,221
Piriyapatna,9,R. TUNGA SRINIVAS,Independent,646
Piriyapatna,10,SUBRAMANYA. B.S.,Independent,409
Piriyapatna,11,NOTA,None of the Above,621
Krishnarajanagara,1,BHARATH KUMAR,Bahujan Samaj Party,545
Krishnarajanagara,2,SA.RA. MAHESH.,Janata Dal (Secular),78863
Krishnarajanagara,3,MURUGESH,Aam Aadmi Party,1120
Krishnarajanagara,4,RAVISHANKAR.D.,Indian National Congress,104502
Krishnarajanagara,5,HOSAHALLI VENKATESH.,Bharatiya Janata Party,2350
Krishnarajanagara,6,PARAMESHA,Karnataka Rashtra Samithi,276
Krishnarajanagara,7,MOHAN. K.,Uttama Prajaakeeya Party,380
Krishnarajanagara,8,SHIVU GOWDA,Independent,266
Krishnarajanagara,9,NOTA,None of the Above,539
Hunsur,1,PRASANNA SOMANAHALLY,Bahujan Samaj Party,975
Hunsur,2,H.P.MANJUNATH,Indian National Congress,92254
Hunsur,3,G. RAVIKUMAR,Aam Aadmi Party,2912
Hunsur,4,DEVARAHALLI SOMASHEKARA,Bharatiya Janata Party,6258
Hunsur,5,G.D. HARISH GOWDA,Janata Dal (Secular),94666
Hunsur,6,YEMMEKOPPAL THIMMABOVI,Karnataka Rashtra Samithi,761
Hunsur,7,SUNIL.D.N.,Uttama Prajaakeeya Party,654
Hunsur,8,UMESH,Independent,212
Hunsur,9,CHANNE GOWDA,Independent,449
Hunsur,10,H.B.RAJENDRA,Independent,178
Hunsur,11,LOKESHA B.L,Independent,332
Hunsur,12,SYED ANIF,Independent,401
Hunsur,13,NOTA,None of the Above,894
Heggadadevankote,1,ANIL CHIKKAMADHU,Indian National Congress,84359
Heggadadevankote,2,K.M. KRISHNANAYAKA,Bharatiya Janata Party,49420
Heggadadevankote,3,JAYAPRAKASHA CHIKKANNA,Janata Dal (Secular),43519
Heggadadevankote,4,HOTEL SHIVANNA,Bahujan Samaj Party,885
Heggadadevankote,5,NAGESHA H M,Uttama Prajaakeeya Party,567
Heggadadevankote,6,K.V. RAJU,Samajwadi Janata Party(Karnataka),209
Heggadadevankote,7,SHIVAPPA H.M,Karnataka Rashtra Samithi,200
Heggadadevankote,8,GIRIJAMBA,Independent,274
Heggadadevankote,9,DEVADATTA G.N.,Independent,218
Heggadadevankote,10,A.M. BABU NAYAK,Independent,431
Heggadadevankote,11,M.S. SHIVAKUMAR,Independent,434
Heggadadevankote,12,SANNANAYKA,Independent,671
Heggadadevankote,13,NOTA,None of the Above,1184
Nanjangud,1,DARSHAN DHRUVANARAYANA,Indian National Congress,109125
Nanjangud,2,SRIKANTA,Bahujan Samaj Party,902
Nanjangud,3,H.HANUMAIAH,Aam Aadmi Party,483
Nanjangud,4,B. HARSHAVARDHAN,Bharatiya Janata Party,61518
Nanjangud,5,MADESHAN. R,Kalyana Rajya Pragathi Paksha,453
Nanjangud,6,M.P.VIJAY KUMAR,Karnataka Rashtra Samithi,164
Nanjangud,7,ANANDA JEEVAN RAM,Independent,126
Nanjangud,8,GOVINDARAJU. V,Independent,150
Nanjangud,9,G.D. RAJAGOPALA,Independent,159
Nanjangud,10,VIDYASAGAR. B,Independent,269
Nanjangud,11,H. K.SWAMY HARADANAHALLI,Independent,746
Nanjangud,12,SUBBAIAH,Independent,317
Nanjangud,13,NOTA,None of the Above,1452
Chamundeshwari,1,KAVEESH GOWDA. V.,Bharatiya Janata Party,51318
Chamundeshwari,2,KIRAN NAGESH KALYANI,Aam Aadmi Party,1890
Chamundeshwari,3,JAYASHANKARA. J. (SHYAM),Bahujan Samaj Party,1393
Chamundeshwari,4,G. T. DEVEGOWDA,Janata Dal (Secular),104873
Chamundeshwari,5,S. SIDDEGOWDA,Indian National Congress,79373
Chamundeshwari,6,M. S. PRAVEEN.,Karnataka Rashtra Samithi,1070
Chamundeshwari,7,SHIVANNA. B .,Karnataka Praja Party (RaithaParva),297
Chamundeshwari,8,S. HARISHA,Uttama Prajaakeeya Party,2219
Chamundeshwari,9,M. NAGARAJU,Independent,240
Chamundeshwari,10,G. M. MAHADEVA,Independent,323
Chamundeshwari,11,M. M. MAHESHA GOWDA,Independent,594
Chamundeshwari,12,M. RANGASWAMY,Independent,632
Chamundeshwari,13,SIDDEGOWDA,Independent,348
Chamundeshwari,14,SURESH,Independent,328
Chamundeshwari,15,NOTA,None of the Above,2220
Krishnaraja,1,JAYASHREE.Y,Aam Aadmi Party,420
Krishnaraja,2,K.V. MALLESH,Janata Dal (Secular),5027
Krishnaraja,3,C. SRINIVASA PRASAD,Bahujan Samaj Party,793
Krishnaraja,4,T.S. SRIVATHSA,Bharatiya Janata Party,73670
Krishnaraja,5,M.K. SOMASHEKAR,Indian National Congress,66457
Krishnaraja,6,ALAGUDU LINGARAJU,Indian Movement Party,187
Krishnaraja,7,SUMALATHA. S,Uttama Prajaakeeya Party,1159
Krishnaraja,8,SOMASUNDER K.S,Karnataka Rashtra Samithi,238
Krishnaraja,9,SANDHYA. P.S,Socialist Unity Centre Of India (COMMUNIST),115
Krishnaraja,10,AMITHABA,Independent,79
Krishnaraja,11,H.P. UDAYASHANKAR,Independent,86
Krishnaraja,12,TEJASWI NAGALINGASWAMY,Independent,119
Krishnaraja,13,H.N. PARTHASARATHY,Independent,124
Krishnaraja,14,S PRAKAASH PRIYYADARSSHAN,Independent,100
Krishnaraja,15,B. ROHITH KUMAR,Independent,100
Krishnaraja,16,A.S. SATHISH,Independent,239
Krishnaraja,17,SUNDHALLY SOMASHEKARA,Independent,103
Krishnaraja,18,NOTA,None of the Above,1306
Chamaraja,1,CHANDRASHEKAR,Bahujan Samaj Party,363
Chamaraja,2,L. NAGENDRA.,Bharatiya Janata Party,68837
Chamaraja,3,MALAVIKA GUBBIVANI,Aam Aadmi Party,789
Chamaraja,4,H. K. RAMESH (RAVI) M.B.A,Janata Dal (Secular),4549
Chamaraja,5,K. HARISH GOWDA,Indian National Congress,72931
Chamaraja,6,D.P.K. PARAMESH,Karnataka Rashtra Samithi,287
Chamaraja,7,M. PANCHALINGU,Country Citizen Party,63
Chamaraja,8,PRABHA NANDISH,Uttama Prajaakeeya Party,907
Chamaraja,9,SEEMA.G.S.,Socialist Unity Centre Of India (COMMUNIST),80
Chamaraja,10,MANOJKUMAR. M,Independent,145
Chamaraja,11,R. YOGANARASIMHAMURTHY,Independent,123
Chamaraja,12,SALEEM AHAMED,Independent,91
Chamaraja,13,SIDDARAJU H D. (KAVERI MESS),Independent,106
Chamaraja,14,T.S. SURESH,Independent,163
Chamaraja,15,NOTA,None of the Above,1181
Narasimharaja,1,ABDUL KHADER (SHAHID),Janata Dal (Secular),3548
Narasimharaja,2,TANVEER SAIT,Indian National Congress,83480
Narasimharaja,3,DHARMASHREE,Aam Aadmi Party,696
Narasimharaja,4,S. SATHEESH SANDESH SWAMY,Bharatiya Janata Party,52360
Narasimharaja,5,ABDUL MAJEED,Social Democratic Party Of India,41037
Narasimharaja,6,KHALEEL UR RAHMAN SHARIFF,All India Mahila Empowerment Party,126
Narasimharaja,7,REHANA BANU,Nationalist Congress Party,134
Narasimharaja,8,LEELASHIVAKUMAR,Uttama Prajaakeeya Party,786
Narasimharaja,9,VINOD CHACKO,Republican Party of India,120
Narasimharaja,10,SUNDAR PREM KUMAR,Karnataka Rashtra Samithi,196
Narasimharaja,11,NEELAKANTA M N,Independent,80
Narasimharaja,12,R.C. RAJ. (VASANTHAKUMAR),Independent,150
Narasimharaja,13,ROBERT E. KAVANRAG,Independent,235
Narasimharaja,14,LINGARAJ. M,Independent,91
Narasimharaja,15,G. LOKESH KUMAR,Independent,209
Narasimharaja,16,SHIVANNA GB,Independent,346
Narasimharaja,17,ALI SHAN. S,Independent,138
Narasimharaja,18,NOTA,None of the Above,1209
Varuna,1,KRISHNAMURTHY. M,Bahujan Samaj Party,1078
Varuna,2,Dr|| BHARATHI SHANKAR N. L.,Janata Dal (Secular),1037
Varuna,3,RAJESH,Aam Aadmi Party,564
Varuna,4,SIDDARAMAIAH,Indian National Congress,119816
Varuna,5,V. SOMANNA,Bharatiya Janata Party,73653
Varuna,6,ARUN LINGA KANNADA CHAKRAVARTHI,Kannada Deshada Paksha,416
Varuna,7,N. AMBARISH KADAMBA NAA AMBARISH,Karnataka Jantha Paksha,242
Varuna,8,K. NAGESHA NAIKA,Samajwadi Janata Party(Karnataka),119
Varuna,9,MAHADEVASWAMY .R,Uttama Prajaakeeya Party,414
Varuna,10,RAVIKUMAR. M,Karnataka Rashtra Samithi,220
Varuna,11,SHIVA .E,Karnataka Praja Party (RaithaParva),160
Varuna,12,CHETHAN. E,Independent,286
Varuna,13,PYARIJAN,Independent,388
Varuna,14,M. MAHESH,Independent,199
Varuna,15,DR. U. P. SHIVANANDA,Independent,153
Varuna,16,NOTA,None of the Above,634
T.Narasipur,1,ASHVIN KUMAR M,Janata Dal (Secular),59265
T.Narasipur,2,B R PUTTASWAMY,Bahujan Samaj Party,992
T.Narasipur,3,DR. H C MAHADEVAPPA,Indian National Congress,77884
T.Narasipur,4,DR. M. REVANNA,Bharatiya Janata Party,20389
T.Narasipur,5,SIDDARAJU M,Aam Aadmi Party,568
T.Narasipur,6,CHANDRAPPA N,Rani Chennamma Party,120
T.Narasipur,7,M D MANJUNATHA,Karnataka Rashtra Samithi,170
T.Narasipur,8,R RENUKA SURESH,Country Citizen Party,179
T.Narasipur,9,A N SHIVALINGAPPA,Samajwadi Janata Party(Karnataka),261
T.Narasipur,10,SRINIVASA,Indian Movement Party,255
T.Narasipur,11,K KENCHAIAH,Independent,504
T.Narasipur,12,DR. ALAGUD S. CHANDRASHEKHAR,Independent,334
T.Narasipur,13,NOTA,None of the Above,1335
Hanur,1,R. NARENDRA,Indian National Congress,57978
Hanur,2,Dr. PREETHAN .K.N,Bharatiya Janata Party,35870
Hanur,3,MADESHA .M,Bahujan Samaj Party,1302
Hanur,4,M.R. MANJUNATH,Janata Dal (Secular),75632
Hanur,5,HARISH .K,Aam Aadmi Party,2515
Hanur,6,T JOHN PETER,Republican Party of India,1596
Hanur,7,N. PRADEEP KUMAR,Uttama Prajaakeeya Party,437
Hanur,8,G. MURUGESHAN,Karnataka Praja Party (RaithaParva),131
Hanur,9,D. SHRIKANTASWAMY,Sarvodaya Karnataka Paksha,666
Hanur,10,SIDDAPPA .R,Country Citizen Party,115
Hanur,11,SURESH .M,Karnataka Rashtra Samithi,176
Hanur,12,M. NAGARAJU,Independent,227
Hanur,13,PRADEEP KUMAR M.,Independent,436
Hanur,14,MUZAMIL PASHA,Independent,256
Hanur,15,T. MUTHURAJU,Independent,325
Hanur,16,RAJASHEKHAR,Independent,847
Hanur,17,C. SIDDARTHAN,Independent,894
Hanur,18,SELVARAJ .S,Independent,361
Hanur,19,NOTA,None of the Above,602
Kollegal,1,A.R.Krishnamurthy,Indian National Congress,108363
Kollegal,2,Kemparaju. B,Aam Aadmi Party,807
Kollegal,3,B.Puttaswamy,Janata Dal (Secular),3925
Kollegal,4,N.Mahesh,Bharatiya Janata Party,48844
Kollegal,5,Ningaraj.G,Karnataka Praja Party (RaithaParva),291
Kollegal,6,Ningaraju.S,Karnataka Jantha Paksha,173
Kollegal,7,N.Ravikumar,Karnataka Rashtra Samithi,142
Kollegal,8,V.Vinay Kumar,Uttama Prajaakeeya Party,1022
Kollegal,9,Vinod.S,Bharathiya Belaku Party,143
Kollegal,10,Kandalli Mahesh,Independent,352
Kollegal,11,"B.Rachaiah, KInakahalli",Independent,1519
Kollegal,12,Raju.K,Independent,218
Kollegal,13,Rajesh.M,Independent,309
Kollegal,14,NOTA,None of the Above,1671
Chamarajanagar,1,Dr.Guruprasad,Aam Aadmi Party,925
Chamarajanagar,2,C. Puttarangashetty,Indian National Congress,83858
Chamarajanagar,3,Mallikarjuna swamy A .M,Janata Dal (Secular),1082
Chamarajanagar,4,HA.RA.MAHESH,Bahujan Samaj Party,6461
Chamarajanagar,5,V.Somanna,Bharatiya Janata Party,76325
Chamarajanagar,6,Abhilash.K,Uttama Prajaakeeya Party,896
Chamarajanagar,7,G.M.Gadkar,Samajwadi Janata Party(Karnataka),184
Chamarajanagar,8,P.Gurusiddappa,Bharathiya Belaku Party,270
Chamarajanagar,9,M.Nagendra Babu,Karnataka Jantha Paksha,147
Chamarajanagar,10,Prasanna Kumar.B,Karnataka Praja Party (RaithaParva),202
Chamarajanagar,11,H.C Mahesh Kumar,Sarvodaya Karnataka Paksha,198
Chamarajanagar,12,Vatal Nagaraj,Kannada Chalavali Vatal Paksha,658
Chamarajanagar,13,C.L.SRINIVAS SHASTHTI,Karnataka Rashtra Samithi,211
Chamarajanagar,14,Nagesha.K,Independent,277
Chamarajanagar,15,Ningaraju,Independent,569
Chamarajanagar,16,NOTA,None of the Above,794
Gundlupet,1,H.M.Ganesh Prasad,Indian National Congress,107794
Gundlupet,2,D.Govindaraju,Bahujan Samaj Party,1234
Gundlupet,3,C.S. Niranjan Kumar,Bharatiya Janata Party,71119
Gundlupet,4,Mahadevaprasad M.,Aam Aadmi Party,507
Gundlupet,5,Manjunatha K.S.,Janata Dal (Secular),1850
Gundlupet,6,N. Ambarish,Karnataka Jantha Paksha,120
Gundlupet,7,Girish.K,Karnataka Rashtra Samithi,78
Gundlupet,8,K.Basavashetty,Bharathiya Belaku Party,77
Gundlupet,9,Jayashree,Independent,148
Gundlupet,10,Tippu Sulthan,Independent,169
Gundlupet,11,H.S.Thontadharyaswamy,Independent,106
Gundlupet,12,Prathap.M,Independent,184
Gundlupet,13,Mahesha M.,Independent,297
Gundlupet,14,Siddaraju H.S.,Independent,547
Gundlupet,15,M.P.Sunil,Independent,2227
Gundlupet,16,NOTA,None of the Above,1538
